block_group,reduced_match_qualify
080130132124,Qualifying
080130132141,Not Qualifying
080130132142,Not Qualifying
080130132151,Not Qualifying
080130132152,Not Qualifying
080130132153,Not Qualifying
080130133023,Qualifying
080130133024,Not Qualifying
080130133025,Not Qualifying
080130133051,Not Qualifying
080130133053,Qualifying
080130133061,Not Qualifying
080130134011,Qualifying
080130134012,Qualifying
080130134021,Qualifying
080130134022,Not Qualifying
080130134023,Not Qualifying
080130135052,Qualifying
080130135053,Qualifying
080130135061,Not Qualifying
080130135081,Not Qualifying
080130135082,Not Qualifying
080130135083,Not Qualifying
080130135084,Not Qualifying
080130136011,Not Qualifying
080130136012,Not Qualifying
080130136013,Not Qualifying
080130136021,Not Qualifying
080130136022,Not Qualifying
080130137031,Not Qualifying
080130137032,Not Qualifying
080130137041,Not Qualifying
080130137042,Not Qualifying
080130137043,Not Qualifying
080130137044,Not Qualifying
080130137051,Not Qualifying
080130137052,Not Qualifying
080130137053,Not Qualifying
080130137061,Not Qualifying
080130137062,Not Qualifying
080130137063,Not Qualifying
080130137064,Not Qualifying
080130606011,Not Qualifying
080130606012,Not Qualifying
080130606021,Not Qualifying
080130607001,Not Qualifying
080130607002,Not Qualifying
080130607003,Not Qualifying
080130608011,Qualifying
080130608012,Not Qualifying
080130608013,Not Qualifying
080130608021,Qualifying
080130608022,Qualifying
080130608024,Not Qualifying
080130609001,Not Qualifying
080130609002,Not Qualifying
080130609003,Qualifying
080130613001,Not Qualifying
080130613002,Not Qualifying
080130614001,Not Qualifying
080130614002,Not Qualifying
080140300002,Not Qualifying
080140301002,Not Qualifying
080140302001,Qualifying
080140303001,Not Qualifying
080140303002,Not Qualifying
080140304001,Not Qualifying
080140304002,Not Qualifying
080140304003,Not Qualifying
080140305004,Not Qualifying
080140306001,Not Qualifying
080140307001,Not Qualifying
080140307002,Not Qualifying
080140308001,Not Qualifying
080140308002,Qualifying
080140308004,Not Qualifying
080140309001,Not Qualifying
080140309002,Not Qualifying
080140309003,Not Qualifying
080140309004,Not Qualifying
080140310001,Not Qualifying
080140310002,Not Qualifying
080140310003,Not Qualifying
080140311011,Not Qualifying
080140311012,Qualifying
080140311021,Not Qualifying
080140311022,Not Qualifying
080140311031,Not Qualifying
080140311041,Not Qualifying
080140312011,Not Qualifying
080140312012,Not Qualifying
080140312021,Not Qualifying
080140312022,Not Qualifying
080140313001,Not Qualifying
080140313002,Not Qualifying
080140314011,Not Qualifying
080140314012,Not Qualifying
080140314021,Not Qualifying
080140314031,Not Qualifying
080140314032,Not Qualifying
080140314033,Not Qualifying
080150001001,Qualifying
080150001002,Not Qualifying
080150001003,Qualifying
080150002001,Not Qualifying
080150002002,Not Qualifying
080150002003,Not Qualifying
080150003001,Not Qualifying
080150003002,Not Qualifying
080150003003,Not Qualifying
080150004021,Qualifying
080150004022,Not Qualifying
080150004031,Qualifying
080150004032,Not Qualifying
080150004041,Not Qualifying
080150004042,Not Qualifying
080179606001,Not Qualifying
080179606002,Not Qualifying
080190147011,Not Qualifying
080190147012,Not Qualifying
080190147021,Not Qualifying
080190147022,Not Qualifying
080190147023,Not Qualifying
080190148001,Not Qualifying
080190149001,Qualifying
080190149002,Qualifying
080190149003,Not Qualifying
080190149004,Not Qualifying
080219748001,Qualifying
080219748002,Qualifying
080219749001,Qualifying
080219749002,Qualifying
080219749003,Qualifying
080219749004,Qualifying
080239726001,Qualifying
080239726002,Qualifying
080239727001,Qualifying
080239727002,Qualifying
080259696011,Qualifying
080259696012,Qualifying
080259696021,Qualifying
080259696022,Qualifying
080279701011,Qualifying
080279701012,Qualifying
080279701013,Not Qualifying
080279701014,Not Qualifying
080279701021,Qualifying
080279701022,Not Qualifying
080279701023,Qualifying
080299646001,Not Qualifying
080299646002,Not Qualifying
080299646003,Not Qualifying
080299646004,Not Qualifying
080299647001,Qualifying
080299647002,Not Qualifying
080299647003,Not Qualifying
080299648001,Qualifying
