block_group,poverty_percent_below_1_rank,civ_labor_force_unemployed_percent_2_rank,no_hs_degree_percent_4_rank,over_65_percent_5_rank,under_18_percent_6_rank,disabled_adult_percent_7_rank,single_householder_percent_8_rank,percent_minority_9_rank,eng_proficiency_rank,over_10_rank,mobile_units_rank,over_1_person_room_percent_13_rank,no_vehicle_percent_14_rank,group_quarters_percent_15_rank,Gini_income_rank,Gini_education_rank,directional_median_hh_income_3_rank,wfsvi,percent_qualify,COES_DIC,reduced_match_qualify
081010029171,0.2,0.52,0.35,0.55,0.76,0.54,0,0.69,0.59,0,0.84,0,0,0,0.76,0.14,0.16,0.36,0.004,FALSE,Not Qualifying
081010029172,0.56,0.21,0.39,0.56,0.61,0.89,0.76,0.67,0,0,0,0,0.59,0,0.39,0.67,0.55,0.58,0.077,FALSE,Not Qualifying
081010029191,0.4,0.67,0.82,0.49,0.73,0.37,0.4,0.92,0,0.69,0,0.62,0,0,0.17,0.14,0.62,0.42,0.067,TRUE,Qualifying
081010029192,0.84,0.92,0.97,0.38,0.12,0.95,0.91,0.85,0,0.75,0.99,0,0.89,0,0.8,0.72,0.98,1,0.984,FALSE,Qualifying
081010029193,0.8,0.9,0.85,0.74,0.54,0.44,0.97,0.82,0.79,0,0,0,0.87,0,0.4,0.33,0.74,0.92,0.812,TRUE,Qualifying
081010029201,0.87,0.26,0,0.89,0.07,0.89,0.75,0.65,0,0.95,0,0,0.94,0,0.21,0.81,0.88,0.73,0.596,TRUE,Qualifying
081010029202,0.56,0.55,0.28,0.69,0.8,0.82,0.62,0.75,0,0,0.94,0,0,0,0.59,0.71,0.55,0.81,0.564,TRUE,Qualifying
081010029211,0.56,0.83,0.97,0.07,0.97,0.88,0.33,0.44,0,0,0,1,0,0,0.79,0.41,0.51,0.72,0,FALSE,Not Qualifying
081010029212,0.67,0.98,0.97,0.29,0.78,0.26,0,0.84,0.88,0,0.79,0.79,0.7,0,0.66,0.06,0.51,0.89,0.703,FALSE,Qualifying
081010029213,0.16,0.95,0.36,0.13,0.93,0.59,0.29,0.86,0,0,0,0,0,0,0.9,0.5,0.61,0.71,0.412,FALSE,Not Qualifying
081010029221,0.99,0,0.84,0.32,0.91,0.78,0.98,0.92,0,0,0,0,0,0,0.89,0.57,0.69,0.92,0,FALSE,Qualifying
081010029222,0.46,0,0,0.49,0.62,0.3,0.88,0.53,0,0,0,0,0,0,0.84,0.97,0.7,0.62,0.417,FALSE,Not Qualifying
081010029223,0,0,0.19,0.7,0.33,0.78,0,0.15,0.55,0,0,0,0,0,0.68,0.1,0.27,0,0.001,FALSE,Not Qualifying
081010029231,0.17,0.89,0,0.55,0.86,0.1,0,0.61,0,0,0,0,0,0,0.79,0.67,0.35,0.37,0.077,FALSE,Not Qualifying
081010029232,0,0,0,0.54,0.21,1,0,0.95,0,0,0,0,0,0,0.89,0.7,0.72,0.47,0.428,FALSE,Not Qualifying
081010029233,0,0,0,0.55,0.44,0,0,0.06,0,0,0,0,0,0,0.99,0.51,0.12,0,0.014,FALSE,Not Qualifying
081010030011,0.77,0.68,0.89,0.7,0.8,0.5,0.7,0.87,0.85,0.65,0.98,0.77,0,0,0.28,0.08,0.92,0.92,0.961,TRUE,Qualifying
081010030041,0.22,0.78,0.27,0.76,0.58,0.58,0.58,0.64,0.7,0,0.72,0,0.79,0,0.47,0.17,0.3,0.49,0.004,FALSE,Not Qualifying
081010030042,0.87,0.74,0.52,0.75,0.18,0.22,0.23,0.78,0.62,0.57,0.67,0,0,0.96,0.21,0.19,0.48,0.66,0.091,FALSE,Not Qualifying
081010031031,0.78,0.88,0.57,0.84,0.23,0.84,0.61,0.81,0.6,0,0.84,0,0.54,0,0.06,0.19,0.78,0.83,0.594,TRUE,Qualifying
081010031032,0.98,0.96,0.89,0.25,0.84,0.8,0.98,1,0.61,0,0.69,0,0.81,0,0.69,0.65,0.87,1,0.977,TRUE,Qualifying
081010031041,0.47,0.5,0.73,0.59,0.58,0.8,0.81,0.85,0,0,0.68,0.9,0.65,0,0.21,0.49,0.55,0.73,0.235,FALSE,Not Qualifying
081010031042,0.26,0.38,0.83,0.78,0.35,0.91,0.53,0.79,0,0,0,0,0.77,0,0.05,0.07,0.77,0.33,0.07,FALSE,Not Qualifying
081010031043,0.46,0.81,0,0.71,0.41,0.74,0.65,0.84,0.66,0,0,0,0.61,0,0.07,0.54,0.73,0.64,0.34,FALSE,Not Qualifying
081010031051,0.83,0.39,0.28,0.83,0.67,0.19,0,0.59,0,0,0,0.77,0,0,0.16,0.42,0.45,0.26,0.038,FALSE,Not Qualifying
081010031052,0.33,0.98,0.62,0.76,0.8,0.93,0.74,0.63,0.65,0,0.79,0,0.84,0,0.36,0.32,0.74,0.85,0.379,FALSE,Qualifying
081010031053,0.26,0,0.39,0.78,0.38,0.31,0.39,0.69,0,0,0,0,0,0,0.33,0.43,0.36,0.07,0.004,FALSE,Not Qualifying
081010031061,0.61,0.42,0.55,0.85,0.42,0.92,0.79,0.92,0,0,0.92,0.64,0.44,0.89,0.02,0.72,0.67,0.8,0.556,TRUE,Qualifying
081010032001,0.5,0.42,0.7,0.78,0.24,0.71,0.39,0.6,0.65,0,0.75,0,0.82,0,0.02,0.33,0.78,0.65,0.12,FALSE,Not Qualifying
081010032002,0.44,0,0.7,0.96,0.23,0.98,0.33,0.22,0,0,0.97,0.7,0,0,0.18,0.49,0.84,0.4,0.243,FALSE,Not Qualifying
081010032003,0.82,0.94,0.36,0.51,0.56,0.7,0.69,0.78,0.85,0.74,0,0.89,0,0,0.3,0.73,0.67,0.88,0.714,TRUE,Qualifying
081010035001,0.92,0.99,0.96,0.58,0.31,0.99,0.83,0.87,0.73,0.92,0.72,0.9,0.99,0.98,0.16,0.01,0.98,0.96,0.955,TRUE,Qualifying
081010035002,0.99,0.98,0.77,0.86,0.03,1,0,0.8,0,0.94,0,0.8,1,0.95,0.84,0.64,1,0.98,1,TRUE,Qualifying
081010036001,0.97,0.68,0.93,0.57,0.44,0.99,0.79,0.88,0.64,0.83,0.74,0,0.99,0.97,0.25,0.08,0.99,0.96,0.995,TRUE,Qualifying
081010036002,0.88,0.25,0.65,0.91,0.06,0.83,0.25,0.64,0.55,0,0.9,0.61,0.89,0.89,0.11,0.45,0.88,0.83,0.6,TRUE,Qualifying
